#Vega Scene - Grønt tak, 6.96.0, Nedbør, dogn
Tidspunkt;Nedbør (mm);Korrigert;Kontrollert
2022-06-09 23:00:00Z;0;0;1
2022-06-10 23:00:00Z;0;0;1
2022-06-11 23:00:00Z;14,7;0;1
2022-06-12 23:00:00Z;0;0;1
2022-06-13 23:00:00Z;0,67;0;1
2022-06-14 23:00:00Z;0;0;1
2022-06-15 23:00:00Z;0;0;1
2022-06-16 23:00:00Z;2,69;0;1
2022-06-17 23:00:00Z;5,55;0;1
2022-06-18 23:00:00Z;0,11;0;1
2022-06-19 23:00:00Z;0;0;1
2022-06-20 23:00:00Z;0;0;1
2022-06-21 23:00:00Z;0;0;1
2022-06-22 23:00:00Z;0;0;1
2022-06-23 23:00:00Z;0;0;1
2022-06-24 23:00:00Z;0;0;1
2022-06-25 23:00:00Z;0;0;1
2022-06-26 23:00:00Z;10,25;0;1
2022-06-27 23:00:00Z;18,13;0;1
2022-06-28 23:00:00Z;5,3;0;1
2022-06-29 23:00:00Z;0;0;1
2022-06-30 23:00:00Z;0;0;1
2022-07-01 23:00:00Z;5,5;0;1
2022-07-02 23:00:00Z;13,32;0;1
2022-07-03 23:00:00Z;2,02;0;1
2022-07-04 23:00:00Z;0,5299999;0;1
2022-07-05 23:00:00Z;0;0;1
2022-07-06 23:00:00Z;5,82;0;1
2022-07-07 23:00:00Z;3,299999;0;1
2022-07-08 23:00:00Z;0;0;1
2022-07-09 23:00:00Z;0,009999999;0;1
2022-07-10 23:00:00Z;0,11;0;1
2022-07-11 23:00:00Z;0;0;1
2022-07-12 23:00:00Z;0;0;1
2022-07-13 23:00:00Z;2,75;0;1
2022-07-14 23:00:00Z;0,009999999;0;1
2022-07-15 23:00:00Z;0;0;1
2022-07-16 23:00:00Z;0;0;1
2022-07-17 23:00:00Z;0;0;1
2022-07-18 23:00:00Z;1,03;0;1
2022-07-19 23:00:00Z;0;0;1
2022-07-20 23:00:00Z;0;0;1
2022-07-21 23:00:00Z;0,13;0;1
2022-07-22 23:00:00Z;8,97;0;1
2022-07-23 23:00:00Z;0;0;1
2022-07-24 23:00:00Z;0,27;0;1
2022-07-25 23:00:00Z;2,13;0;1
2022-07-26 23:00:00Z;0;0;1
2022-07-27 23:00:00Z;0,009999999;0;1
2022-07-28 23:00:00Z;0,3;0;1
2022-07-29 23:00:00Z;0;0;1
2022-07-30 23:00:00Z;0;0;1
2022-07-31 23:00:00Z;3,66;0;1
2022-08-01 23:00:00Z;5,48;0;1
2022-08-02 23:00:00Z;9,18;0;1
2022-08-03 23:00:00Z;0,09999999;0;1
2022-08-04 23:00:00Z;1,37;0;1
2022-08-05 23:00:00Z;0;0;1
2022-08-06 23:00:00Z;0;0;1
2022-08-07 23:00:00Z;0;0;1
2022-08-08 23:00:00Z;0;0;1
2022-08-09 23:00:00Z;0;0;1
2022-08-10 23:00:00Z;0;0;1
2022-08-11 23:00:00Z;0;0;1
2022-08-12 23:00:00Z;0;0;1
2022-08-13 23:00:00Z;0;0;1
2022-08-14 23:00:00Z;0;0;1
2022-08-15 23:00:00Z;4,17;0;1
2022-08-16 23:00:00Z;38,49999;0;1
2022-08-17 23:00:00Z;0;0;1
2022-08-18 23:00:00Z;1,56;0;1
2022-08-19 23:00:00Z;0;0;1
2022-08-20 23:00:00Z;0;0;1
2022-08-21 23:00:00Z;3,15;0;1
2022-08-22 23:00:00Z;0;0;1
2022-08-23 23:00:00Z;0;0;1
2022-08-24 23:00:00Z;0;0;1
2022-08-25 23:00:00Z;0;0;1
2022-08-26 23:00:00Z;1,12;0;1
2022-08-27 23:00:00Z;0;0;1
2022-08-28 23:00:00Z;0,03;0;1
2022-08-29 23:00:00Z;0,02;0;1
2022-08-30 23:00:00Z;0;0;1
2022-08-31 23:00:00Z;0;0;1
2022-09-01 23:00:00Z;0;0;1
2022-09-02 23:00:00Z;1,28;0;1
2022-09-03 23:00:00Z;0,53;0;1
2022-09-04 23:00:00Z;1,74;0;1
2022-09-05 23:00:00Z;0;0;1
2022-09-06 23:00:00Z;0;0;1
2022-09-07 23:00:00Z;0;0;1
2022-09-08 23:00:00Z;0;0;1
2022-09-09 23:00:00Z;0,31;0;1
2022-09-10 23:00:00Z;0,02;0;1
2022-09-11 23:00:00Z;0;0;1
2022-09-12 23:00:00Z;10,89001;0;1
2022-09-13 23:00:00Z;12,24001;0;1
2022-09-14 23:00:00Z;0,14;0;1
2022-09-15 23:00:00Z;0,06999999;0;1
2022-09-16 23:00:00Z;0,4899999;0;1
2022-09-17 23:00:00Z;0,26;0;1
2022-09-18 23:00:00Z;0,15;0;1
2022-09-19 23:00:00Z;0,59;0;1
2022-09-20 23:00:00Z;0;0;1
2022-09-21 23:00:00Z;0;0;1
2022-09-22 23:00:00Z;0;0;1
2022-09-23 23:00:00Z;-10000000000;0;1
2022-09-24 23:00:00Z;0;0;1
2022-09-25 23:00:00Z;0;0;1
2022-09-26 23:00:00Z;8,820014;0;1
2022-09-27 23:00:00Z;2,010001;0;1
2022-09-28 23:00:00Z;0,29;0;1
2022-09-29 23:00:00Z;0,41;0;1
2022-09-30 23:00:00Z;0;0;1
2022-10-01 23:00:00Z;3,96;0;1
2022-10-02 23:00:00Z;0,55;0;1
2022-10-03 23:00:00Z;0;0;1
2022-10-04 23:00:00Z;0;0;1
2022-10-05 23:00:00Z;6,550003;0;1
2022-10-06 23:00:00Z;0;0;1
2022-10-07 23:00:00Z;0,8099999;0;1
2022-10-08 23:00:00Z;0;0;1
2022-10-09 23:00:00Z;0;0;1
2022-10-10 23:00:00Z;0,7799998;0;1
2022-10-11 23:00:00Z;0,03;0;1
2022-10-12 23:00:00Z;0,12;0;1
2022-10-13 23:00:00Z;9,330009;0;1
2022-10-14 23:00:00Z;1,11;0;1
2022-10-15 23:00:00Z;14,61001;0;1
2022-10-16 23:00:00Z;8,759999;0;1
2022-10-17 23:00:00Z;1,59;0;1
2022-10-18 23:00:00Z;4,909999;0;1
2022-10-19 23:00:00Z;0;0;1
2022-10-20 23:00:00Z;0;0;1
2022-10-21 23:00:00Z;0;0;1
2022-10-22 23:00:00Z;0;0;1
2022-10-23 23:00:00Z;0;0;1
2022-10-24 23:00:00Z;0;0;1
2022-10-25 23:00:00Z;0;0;1
2022-10-26 23:00:00Z;0;0;1
2022-10-27 23:00:00Z;0;0;1
2022-10-28 23:00:00Z;0;0;1
2022-10-29 23:00:00Z;0;0;1
2022-10-30 23:00:00Z;0;0;1
2022-10-31 23:00:00Z;0;0;1
2022-11-01 23:00:00Z;0;0;1
2022-11-02 23:00:00Z;0;0;1
2022-11-03 23:00:00Z;2,769999;0;1
2022-11-04 23:00:00Z;5,380004;0;1
2022-11-05 23:00:00Z;1,48;0;1
